id,ordinal,source_id,guid
CAA_Finesse_BasicToAoe,0,GA_Finesse_Passive_BasicToAoe_C,89f2942f-d988-5367-93f8-3854830d4a8c
CAA_Finesse_BasicToIncreasedPower,0,GA_Finesse_Passive_BasicToIncreasedPower_C,5c69159f-5ac6-5df8-aece-8ec50125e629
CAA_Finesse_CritChanceToHealOrDamage,0,GA_Finesse_Passive_CritChanceToHealOrDamage_C,af15f321-b88f-5a41-a6bd-1d2c772f4cde
CAA_Finesse_CurrentSpiritToBuff,0,GA_Finesse_Passive_CurrentSpiritToBuff_C,514cea64-e129-5d40-a94c-10df26fa5a25
CAA_Finesse_DrainHealthBasedOnPrimaryStat,0,GA_Finesse_Passive_DrainHealthBasedOnPrimaryStat_C,4ec3718c-49cb-5f40-9c94-4055980c6fb8
CAA_Finesse_IncreasedBasicDamage,0,GA_Finesse_Passive_IncreasedBasicDamage_C,a7b73586-453d-5192-815d-ed58177c5037
CAA_Finesse_IncreasedPowerPerCurrentSpirit,0,GA_Finesse_Passive_IncreasedPowerPerCurrentSpirit_C,a57b1d2f-6500-5d41-9256-80348de48dfd
CAA_Finesse_MajorToReducedControlCooldown,0,GA_Finesse_Passive_MajorToReducedControlCooldown_C,f341d124-d6b3-56e1-8e81-a1544d6c6748
CAA_Finesse_PeriodicHasteBuff,0,GA_Finesse_Passive_PeriodicHasteBuff_Manager_C,6609fb13-4518-586e-8816-891a26d8c32b
CAA_Finesse_PowerChanceSpirit,0,GA_Finesse_Passive_PowerChanceSpirit_C,40b888a3-5949-510c-9ede-2b37ac01bbdc
CAA_Finesse_PowerToIncreasedCritChance,0,GA_Finesse_Passive_PowerToIncreasedCritChance_C,86a44f23-4153-5271-ae90-668cd8fab7f5
CAA_Finesse_StartWithSpiritPoints,0,GA_Finesse_Passive_StartWithSpiritPoints_C,9848a8b5-13c1-51ba-8421-9feabab3599b
