name,definitions_ordinal,effect,source_typed_payload_coverage,ordinal,calculation_class
CRAgilityDamageCalculation,0,GE_Bowguy_AoeProjectileDamage_Damage,complete,0,CRAgilityDamageCalculation
CRAgilityDamageCalculation,1,GE_Bowguy_AoeProjectileDamage_Damage_Magical,complete,0,CRAgilityDamageCalculation
CRAgilityDamageCalculation,2,GE_Bowguy_CastedBouncyProjectileDamage_Damage,complete,0,CRAgilityDamageCalculation
CRAgilityDamageCalculation,3,GE_Bowguy_CastedProjectileDamage_Damage,complete,0,CRAgilityDamageCalculation
CRAgilityDamageCalculation,4,GE_Bowguy_CastedProjectileHeavyDamage_Damage,complete,0,CRAgilityDamageCalculation
CRAgilityDamageCalculation,5,GE_Bowguy_ChanneledMultiProjectileDebuff_Damage,complete,0,CRAgilityDamageCalculation
CRAgilityDamageCalculation,6,GE_Bowguy_InstantMarkTarget_AoeDamage,complete,0,CRAgilityDamageCalculation
CRAgilityDamageCalculation,7,GE_Bowguy_InstantMarkTarget_Damage,complete,0,CRAgilityDamageCalculation
CRAgilityDamageCalculation,8,GE_Bowguy_RangedAutoAttack_Damage,complete,0,CRAgilityDamageCalculation
CRAgilityDamageCalculation,9,GE_Bowguy_SingleProjectileDamage_Damage,complete,0,CRAgilityDamageCalculation
CRAgilityDamageCalculation,10,GE_Bowguy_TargetedAoeDamage_Damage,complete,0,CRAgilityDamageCalculation
CRAgilityDamageCalculation,11,GE_DD_Arbalist_LineAttack_Damage,complete,0,CRAgilityDamageCalculation
CRAgilityDamageCalculation,12,GE_DR_BarbedRoot_RangedAutoAttack_Damage,complete,0,CRAgilityDamageCalculation
CRAgilityDamageCalculation,13,GE_Mara_AoeAttackBuilder_Damage,complete,0,CRAgilityDamageCalculation
CRAgilityDamageCalculation,14,GE_Mara_AoeAttackBuilder_Poison,complete,0,CRAgilityDamageCalculation
CRAgilityDamageCalculation,15,GE_Mara_AoeAttackBuilder_Poison_Aoe_Damage,complete,0,CRAgilityDamageCalculation
CRAgilityDamageCalculation,16,GE_Mara_AoeAttackSpender_Damage,complete,0,CRAgilityDamageCalculation
CRAgilityDamageCalculation,17,GE_Mara_AutoAttackProc_Damage,complete,0,CRAgilityDamageCalculation
CRAgilityDamageCalculation,18,GE_Mara_AutoAttack_Damage,complete,0,CRAgilityDamageCalculation
CRAgilityDamageCalculation,19,GE_Mara_BleedAttackSpender_Bleed,complete,0,CRAgilityDamageCalculation
CRAgilityDamageCalculation,20,GE_Mara_BleedAttackSpender_Damage,complete,0,CRAgilityDamageCalculation
CRAgilityDamageCalculation,21,GE_Mara_ChargedDoubleAttackBuilder_DamageFirst,complete,0,CRAgilityDamageCalculation
CRAgilityDamageCalculation,22,GE_Mara_ChargedDoubleAttackBuilder_DamageSecond,complete,0,CRAgilityDamageCalculation
CRAgilityDamageCalculation,23,GE_Mara_ChargedDoubleAttackBuilder_Poison,complete,0,CRAgilityDamageCalculation
CRAgilityDamageCalculation,24,GE_Mara_HeavyAttackSpender_Damage,complete,0,CRAgilityDamageCalculation
