hero,id,ordinal,source_id,guid
Bowguy,Talent.ID.Talent1,0,GA_Bowguy_Passive_Talent_AoeProjectileDamage_CooldownReduction_C,603440de-e5bc-592f-9b2c-bf193692c51e
Bowguy,Talent.ID.Talent15,0,GA_Bowguy_Passive_Talent_CastedProjectileHeavyDamage_StacksMoreDamageAndBounces_C,75234a30-754b-5846-b631-aa46ede5fe7a
Bowguy,Talent.ID.Talent18,0,GA_Bowguy_Passive_Talent_SingleProjectileDamage_ChanceInstantMarkTarget_C,4a8db586-222c-5e45-b6f6-bb2ee964d47d
Bowguy,Talent.ID.Talent3,0,GA_Bowguy_Talent_CastedProjectileHeavyDamage_InstantNoCooldownProc_Monitor_C,a8876581-5f17-53a1-85fe-a3bf7516798b
Bowguy,Talent.ID.Talent7,0,GA_Bowguy_Passive_Talent_CastedProjectileDamage_AoeProjectileDamageEmpowered_C,aba83575-9c48-5f8c-8457-0913e72cf931
Bowguy,Talent.ID.Talent8,0,GA_Bowguy_Passive_Talent_InstantMarkTarget_CooldownReducedOnHeavyProjectileCast_C,e4a49a63-2962-5783-86e3-942518fefbdd
Bowguy,Talent.ID.Talent9,0,GA_Bowguy_Passive_Talent_SingleProjectileDamage_CooldownReduction_C,75db7c68-403d-5228-ad88-4679a2fd0527
Bowguy,Talent.ID.Talent97,0,GA_Bowguy_Passive_Talent_SelfDefenceBuff_IncreasedDurationAndDispel_C,b3a634f5-c2e8-56b0-a4cc-5379026f0940
Firemage,Talent.ID.Talent1,0,GA_Firemage_Passive_Talent_FireFrogOnDotCrit_Monitor_C,79ce1316-631d-574b-bb2f-e63d8541bd06
Firemage,Talent.ID.Talent13,0,GA_Firemage_Talent_Passive_CastedDotBoostProjectile_CritsApplyDot_DamageMonitor_C,f863b73e-893f-5b8f-bfde-9892077af53c
Firemage,Talent.ID.Talent14,0,GA_Firemage_Passive_Talent_CastedDotDetonate_FreeProc_C,63ca3ebb-ef52-58ff-b464-99821cb3955a
Firemage,Talent.ID.Talent15,0,GA_Firemage_Talent_ExtraResourcesAtStart_C,6d84d087-0ccd-545f-a085-510e246d70fc
